   Counter   Asymmetry      DeltaX      DeltaY
       161 -1604.26868    81.24964     0.18417
       162  -184.80365   171.03864     5.52634
       163  1093.70093    64.35050    21.56020
       164  1248.34326    13.84000    23.20691
       165 -1124.59778    93.08127   -25.20020
       166  -450.21808   -39.10493   -64.32080
       167   -69.26617    17.74309    27.35522
       168   761.05011    60.93362    44.78921
       169   711.94501   -27.43288    46.77370
       170  -823.61292   -45.73304   -65.32471
       171   177.83968   -22.00215    26.51026
       172  -717.85980    -2.88483    18.61584
       173  -190.13019    71.79739     4.94360
       174  1035.47070   -19.94517    23.81189
       175 -1192.97571    17.19775    -4.01760
       176   218.96277    39.06910    21.10578
       177   -28.13530    11.27971     3.87493
       178  1642.52271   -28.26810    32.09983
       179  1216.39331   -17.95865    39.05286
       180  -354.33871    91.74924    33.92638
       181   154.30408    -3.65957    -0.92158
       182  -773.39380    71.44118     2.99604
       183 -1138.63354   -28.56452   -31.88664
       184    14.98618    16.71690    17.09198
       185  -847.69159    11.20156   -37.87082
       186   -44.82948    17.67680   -10.56093
       187  -644.79834  -136.98903    -0.75382
       188   419.46783   -18.91492    27.61196
       189  1631.57239    43.46960    82.42184
       190   110.92927   -77.12051   -36.24061
       191 -1646.37659    97.63048     6.85967
       192  -427.01535    31.32036   -12.67511
       193   521.05621    -9.91338    32.57332
       194  -809.62384   -17.83210   -28.62211
       195  -224.01294     8.61937   -24.53996
       196 -1625.55615    73.21742   -23.16334
       197   114.26899    57.56707     2.14124
       198  -251.58612    25.26986     8.44120
       199 -1980.75757  -112.61561   -59.23660
       200  -198.12471    86.77981    11.55572
       201   639.36646   -57.78004     9.75922
       202  -925.36481    23.33139   -33.93800
       203   577.06854   -75.79285    24.73803
       204   173.19339   -20.83891   -18.71917
       205   373.44308   -33.77449   -22.41932
       206  -339.27542    47.23324    10.43073
       207   649.81927   -69.55098     8.09604
       208  -478.50262    54.74895   -13.70488
       209  -787.36682    31.99476   -18.04180
       210  -563.58191   -33.61206   -31.34265
       211  -655.58337    43.48076    27.58844
       212 -1344.64624     5.83505     0.58455
       213   200.31276    -2.91959   -43.29745
       214    19.68592   -28.29931   -13.75281
       215   283.94885    16.69028    33.75402
       216   -59.40641    12.37853   -40.40751
       217 -1054.61572    85.42729    -5.05898
       218    30.46151    57.54907     6.99480
       219  -500.10785    10.67443    15.03818
       220  -400.66165    24.42766   -33.93172
       221 -2323.11328   -45.78446   -75.27207
       222   408.26334    63.53796    19.30236
       223   594.94159    10.87856    55.02676
       224   779.31049     3.31509    31.17814
       225   748.84180    -0.46681     5.79005
       226   459.99411    76.69854    69.15152
       227  3024.56250   -22.53907    78.30148
       228   364.05328  -109.86903   -21.69380
       229   935.16003   122.51063    23.69580
       230  1257.86438   -35.45501    27.56320
       231   162.68057     4.49228    12.23512
       232  1667.51868  -174.73563   -10.24440
       233  -274.75665   -89.35490   -31.13087
       234   -83.39719    40.28522   -19.44860
       235 -1015.06128    33.95055     5.00027
       236  1056.65088   -89.13258     2.53106
       237  -772.53577    25.45432     2.40273
       238   525.66284    -4.33021   -12.05268
       239  -417.94000   -73.58747   -72.21607
       240   153.30701   -32.00157   -23.56395
       241   173.59070   -45.14723    47.09503
       242   463.55960    22.53748    -6.72424
       243  -126.00967    -2.29107    39.20227
       244 -1509.62415    24.11275    11.92750
       245   332.20450    54.83106    14.87431
       246  -653.87439   -45.83614   -26.93793
       247  -264.86978     4.47901   -37.34312
       248   -53.13533   135.64758     4.22379
       249   755.42273   -30.77780    51.91769
       250  -799.73822  -117.99972   -51.60613
       251 -1262.79053    13.42237    -5.43962
       252 -1295.97900     5.79212   -30.57188
       253   252.30818   -22.54436     9.57289
       254   -36.33612    13.11846    -7.67198
       255  1740.29785     4.43241    55.61132
       256  -249.33200    19.50255    13.96754
       257  1069.15063    10.25940    43.63485
       258  -570.05750     6.00079     4.39555
       259   999.48730    60.13612    14.99600
       260  -126.86341    22.05043     8.56493
       261  -725.35413   107.52526    20.43497
       262  -597.85522    -0.53303    11.52073
       263   413.12219   118.50107     7.95218
       264   574.17645    11.39538    11.28972
       265   475.08041    22.74612    11.09125
       266  -207.50549    11.19912    33.05667
       267  -381.10330    19.47665    -8.52354
       268 -1197.87939    18.60486   -21.07042
       269  1632.42542   -73.39751    16.83025
       270  -977.31738    53.85103    -1.59019
       271   504.43008   -36.03068    11.37044
       272  1286.76233    25.01926    62.48337
       273  1284.02808    28.27166    59.91662
       274   470.37085   -31.92264     6.89429
       275 -1482.98096     2.51558   -60.97024
       276  1770.73694   -57.34662    49.69967
       277 -2185.83398    58.14732   -32.56803
       278     7.41007    40.48824    33.64613
       279  1074.24280   -27.91476    21.94920
       280 -1099.54236   -67.17677   -48.05707
       281  -589.17316  -116.12959   -80.84349
       282   174.16498    56.23896     2.13855
       283   541.66467   -29.35854     3.07820
       284  -413.61456     6.57439    -1.32845
       285   178.69727   -44.05203   -23.47779
       286  -512.11517     4.86581    -8.12396
       287  -422.76282   121.98227     0.58847
       288    98.25153    58.03904     2.40592
       289   149.56987   -56.28409    12.60022
       290   -22.62003   -10.05168   -27.65008
       291   793.89819   -28.86985     8.46576
       292  -503.65100   -76.17115   -25.92189
       293   -80.57073    45.81989   -14.64502
       294  -541.22400    17.98140    -0.66591
       295   160.40900   -97.60535     8.74193
       296   346.55597    16.67604    -6.74196
       297  -979.43018   -11.01447    14.82936
       298  -613.15454    39.84223   -23.41872
       299  1657.10645    95.29111    58.27591
       300  -253.16176   -57.78774   -30.09088
       301  2011.15564     3.77137    61.87844
       302  -180.43552    -1.43475   -20.69128
       303  -471.45078    33.54146   -17.88674
       304 -1585.45496    76.74888   -22.20667
       305   -96.37411   -27.27279    37.03672
       306  -576.51697     9.01975   -43.09685
       307  -668.49341    74.45042   -31.22736
       308    86.16367    28.20302    -6.37761
       309   672.36426    -9.09595   -12.59888
       310   286.82715    10.59777    41.58301
       311   193.59108    21.87805     1.06141
       312   433.81219   -71.16917    -8.89699
       313   569.09253   -40.00119   -16.80297
       314   181.86433   -22.43148    22.28146
       315 -1510.19702   -28.32027   -38.88582
       316 -1423.63245     1.79119   -69.25765
       317 -1418.69385    51.02951   -35.15748
       318   377.62646     1.56904    39.94915
       319    80.92423    -0.51116   -16.51025
       320  -808.18011     3.17438   -66.90753
       321   410.59058    99.50308    11.97384
       322  -292.50589   -43.47326   -30.75348
       323  -416.44986   -14.38107   -23.75197
       324   188.81743    50.84032     9.64411
       325  1166.24268  -113.30158    -0.92675
       326 -1952.74219   -74.29810   -59.25008
       327   878.97125     9.24399    24.42664
       328   851.25299   -83.33223    -3.47418
       329   475.71573     4.25902     8.78347
       330  1466.19299    93.48621    56.64075
       331   900.54675    61.49561    68.61592
       332  -584.19672    60.20131   -10.49300
       333 -1163.82117   -47.33215   -43.75555
       334   365.79242   -17.21062   -22.20697
       335   733.52869   102.76549    20.06810
       336  1109.32275    29.80997    23.53160
       337   388.25455    49.38128     5.37329
       338  1784.33057    53.60551    67.44799
       339 -1663.64368   -77.50133   -60.19562
       340   737.96417    65.85351    35.31393
       341  -218.53906    42.35096    -2.69389
       342   803.41785    31.62127    19.47154
       343  -743.01593    -9.49755    -0.33315
       344   117.47592     8.45072    -4.02478
       345    79.00260   -86.99453    -1.20666
       346 -1233.49280   -58.21341   -50.15659
       347   865.85004    53.36143    71.17493
       348   363.40247    62.82108    14.24091
       349   576.26880   -22.37527    18.62564
       350  -524.13971   -27.37073   -25.42713
       351   724.86255    44.63830    39.45350
       352 -1298.16272  -173.36011   -81.48355
       353 -1007.17438    68.48068   -18.16742
       354   404.26837    53.89083    49.65352
       355   514.31342     4.78504    -1.07095
       356  1006.52338    76.00020    46.36594
       357   -18.51955   -22.18757    46.30946
       358 -1289.25403     5.37203   -32.56046
       359  -374.74933   -98.03548   -36.59657
       360  1520.96582   -91.42523     9.99052
       361  -935.52704   -37.75101   -61.55654
       362   268.83658   -14.42379    -0.34880
       363   309.25531    26.66605    18.37469
       364 -1374.85632    50.90275   -14.21780
       365  -551.91852   -54.98905   -29.92866
       366   578.43427    38.50570    23.56212
       367   565.29279   -47.97579     8.37524
       368  -248.24985    11.09882   -15.37555
       369  1549.36365    -4.64974    33.03551
       370   717.72198   -27.42946    -5.96740
       371  -479.58502    51.24516     3.36700
       372  -329.86456    33.51594    -5.77310
       373    41.29600    -9.12543    29.22378
       374   679.22095   -20.44115     6.90951
       375  -197.44286  -166.16779   -37.10082
       376  -371.04703   -61.31919    -3.19652
       377  -234.16066   -13.63645    13.85386
       378 -1011.78485   -22.78748   -25.25737
       379  -105.03441   -46.58323    -8.23524
       380   609.25684    17.93439    45.07036
       381  -802.20801    29.68208     5.31340
       382  1173.10449    15.49559    16.46292
       383 -1321.11609    44.71451   -14.23940
       384  -421.12198   -44.88619   -63.38163
       385    26.63413    -8.49344    21.41217
       386  1269.31812   -18.79736     2.57453
       387 -1054.18872    89.65362    -0.74879
       388  -824.49390    29.86464    13.56382
       389    30.25588   -51.98058   -36.72052
       390  1313.56946    94.64841    28.12805
       391    13.91727    72.43829    57.80865
       392  1843.13745   -32.22136    33.62271
       393   450.84247   -38.95087   -27.94473
       394 -1617.00342   -47.32789   -61.60380
       395  -411.53622   -97.21043   -44.07328
       396   192.77391    57.19722    32.63406
       397  1510.02124    17.74893    72.52059
       398  -450.92563   102.21117     3.55455
       399   142.38725   -18.00335    22.61459
       400   167.55525   -35.88282     3.33171
       401  -855.02966    27.65274   -11.79106
       402  -378.35574    59.98393    16.06407
       403  -603.71307    -4.65366   -33.59947
       404  -472.63159   -29.99142     0.73333
       405   866.71442   -33.81063    16.05473
       406  -962.03839     5.20338   -60.11388
       407   347.31390   -52.36926   -16.66081
       408  1479.55762    67.51466    74.97883
       409  -541.51996    10.04986   -15.13313
       410  -312.23920    31.40728   -37.23084
       411   165.71245   -27.01361    38.29843
       412   617.60260    54.94333    53.11311
       413  -600.67047    30.62368     7.77713
       414   219.41010   -14.19154    -9.59487
       415   591.06445    -1.95740    -2.58995
       416  1807.63477   -57.87614    -3.69097
       417  -398.28400   -44.89798   -49.76700
       418 -1575.25708    23.45646    13.53504
       419  -421.13687    91.60845    18.17730
       420   955.52313     4.47763    40.30313
       421  -666.18555   -14.33970   -14.69554
       422   -16.25102   -47.02114   -59.32991
       423  1101.88916    31.00940     8.00838
       424   204.70494     4.79281    41.69969
       425   505.16324   -36.67435     4.56784
       426 -1749.39380    46.78251   -49.89169
       427  -469.29556    26.96889    -1.82674
       428   800.41254    23.74770    60.57286
       429 -1298.03113     9.92147   -42.04263
       430   -27.19345    30.83231    -0.62439
       431   445.46146    12.05905    42.49738
       432  1284.73901    79.41637    74.23602
       433  -259.03790    14.77549   -21.27315
       434  -105.65017    13.34045   -19.05937
       435  1065.42761   100.64703    65.65610
       436  -407.15048    69.61629     9.32879
       437  1729.38452    -4.36138    18.23416
       438 -1368.92981  -110.08444   -80.87925
       439  -617.06238  -122.55905    -7.06375
       440    -9.55721   228.94090    62.83886
       441  -403.28781   -44.21270   -50.59797
       442  1497.57166    67.16358    25.28076
       443 -1266.27795    20.08854    15.12784
       444   -37.92138    13.96700    -5.34401
       445  -229.31064   -54.62539   -58.87168
       446 -1165.33594    -6.75547   -46.72314
       447  -817.22089    52.55009   -25.67406
       448  -304.49832     2.99108    -7.36037
       449   773.91040    59.48983    36.85942
       450  -658.93457    25.05844     5.37662
       451   300.82849    48.05297    20.87811
       452   709.44873    -4.02379    64.82743
       453   111.74544    25.34994    -2.21838
       454   216.92998    17.56982   -20.22518
       455  -605.88599   -75.74054   -72.14937
       456    87.82333   -30.58934    31.72609
       457   475.86469     1.58873    16.07803
       458  1709.75989    44.21126    53.08461
       459   -58.02798   -50.52459    12.09392
       460  -885.56451  -116.16252    -6.65739
       461   377.13007   -21.69773    -8.13420
       462    14.92660    40.33030   -14.37188
       463 -1429.77966   -10.92539   -36.68677
       464  -367.22208  -113.16689    -9.85982
       465  -221.72156   148.23672    56.07973
       466  -892.33746   110.14746   -46.53996
       467  -584.73950    57.33562    -9.68353
       468  -672.78729  -104.85974   -10.55691
       469  -130.97484   -16.97152     1.41722
       470 -1671.12671   -19.61006   -39.37703
       471   405.77316    11.74270    37.55687
       472  1792.42358   -48.49686    21.67659
       473  -526.49487   -99.75401   -13.54460
       474 -1298.74280   -25.18789   -61.78831
       475  -618.55194    49.53388    51.66116
       476  -399.91458    -5.76264   -25.28488
       477  -110.98816   -89.45160   -15.17556
       478 -1080.68237   -12.31353    -0.49737
       479   221.34024    85.49712    20.82531
       480   302.39346   -15.51473    -8.49190
       481   644.49768    11.57561    36.46665
       482   766.56622    20.57897    52.56084
       483  1356.57214   -31.27410    15.91645
       484   463.20267    19.98037    14.74972
       485 -1134.35986   -23.04990   -53.38920
       486   255.19772    27.57290    -5.34628
       487   641.75293   -62.77744   -49.80289
       488  -226.07602   -18.02775   -30.14910
       489 -1034.82214    26.42187   -51.21193
       490   124.15276    36.38356    52.22405
       491  -158.39156    32.92603     5.20619
       492  -583.56226    35.19946   -21.96305
       493  1903.14661   -37.28755    72.89297
       494  -252.59557    18.20077    -5.86471
       495 -1405.99854  -160.79700   -57.51679
       496  -554.23273     8.69961   -42.20276
       497  1404.86328   138.66167    70.91110
       498  1128.67773     2.00935     0.23761
       499   406.91058   -23.76760     9.25533
       500   162.41919   -73.12527    10.77772
       501   810.22552   -24.15127     1.34292
       502   223.06531   -14.01272    -7.43653
       503   980.14282    68.06225     8.75787
       504  2262.87036    49.73934    82.09509
       505 -1191.06750    -9.79396   -38.01037
       506  -155.74878    49.67307    -7.80960
       507   115.04608     9.47579    -8.02169
       508   683.73578    33.82913    24.71055
       509   733.81512    78.33620    80.32362
       510   -98.39314    76.32570    -4.55405
       511   192.43422   -58.40284    -7.66524
       512 -1426.12866     0.89868   -37.66076
       513  1403.72339    47.33608    30.02716
       514   141.10204    54.95359    14.28604
       515   946.17841    89.62202    15.23461
       516  -164.49661   -87.28557   -15.68627
       517   245.21365   117.56793    18.81748
       518   777.37860   -48.23107     2.74452
       519   -26.80032    48.28892   -13.52189
       520   981.71497    66.25756    29.51061
       521   862.48859   -13.46822    22.79142
       522  -125.40023   -44.72387   -19.98993
       523   607.29248   -29.64171    39.01461
       524   636.20636    82.95454    -2.73158
       525  -726.07361    45.88766   -33.76926
       526  1642.32349   -78.01844    46.67242
       527  1034.47400    18.71585    63.79093
       528  -942.24591     2.81798     9.96866
       529  -881.30957     6.10700   -16.57958
       530   -62.28849    35.95304     7.61175
       531  -386.42783   -98.27048   -30.22910
       532  -806.44720    19.45431    -9.16667
       533  1377.65259   172.61176   117.13214
       534    96.93758   -63.37946   -36.54578
       535   518.04962    39.73399    13.02172
       536  -704.31128   -50.44617    -4.18818
       537   -58.49067    59.38287    37.20716
       538    63.84400    39.22453   -18.94177
       539  1039.16528   -20.75067    42.08236
       540   458.36142    13.58854    -2.48034
       541  -108.88129   -24.55902   -21.48145
       542   181.07709    13.85181    21.57953
       543   148.09419   -14.86999     5.61090
       544  -456.14859    60.36543   -60.07283
       545    40.19375    17.23732   -25.86578
       546   707.57385    33.71942    -7.17220
       547   318.13983     0.84376    15.25409
       548   802.74231   105.41106    49.40839
       549 -1562.66833    24.32430   -61.34369
       550  1301.26013    12.13818    17.98844
