#Frequency	Mic 1	Mic 2
275.000	1.055	0.451
276.000	1.122	0.470
277.000	1.186	0.497
278.000	1.277	0.518
279.000	1.355	0.551
280.000	1.449	0.571
281.000	1.568	0.600
282.000	1.687	0.625
283.000	1.802	0.655
284.000	1.963	0.694
285.000	2.086	0.730
286.000	2.242	0.767
287.000	2.423	0.819
288.000	2.556	0.852
289.000	2.721	0.901
290.000	2.864	0.941
291.000	2.983	0.976
292.000	3.084	0.999
293.000	3.139	1.016
294.000	3.153	1.022
295.000	3.132	1.019
296.000	3.082	0.999
297.000	2.976	0.975
298.000	2.849	0.942
299.000	2.745	0.904
300.000	2.661	0.989
301.000	2.543	0.881
302.000	2.279	0.818
303.000	2.179	0.831
304.000	2.054	0.747
305.000	1.939	0.758
306.000	1.802	0.655
307.000	1.690	0.632
308.000	1.562	0.582
309.000	1.498	0.557
310.000	1.472	0.555
311.000	1.376	0.598
312.000	1.288	0.546
313.000	1.245	0.592
314.000	1.167	0.493
315.000	1.113	0.523
316.000	1.016	0.453
317.000	0.972	0.446
318.000	0.943	0.436
319.000	0.981	0.490
320.000	0.820	0.416
321.000	0.816	0.463
322.000	0.746	0.410
323.000	0.696	0.394
324.000	0.670	0.390
325.000	0.614	0.385
326.000	0.586	0.382
327.000	0.543	0.375
328.000	0.510	0.381
329.000	0.476	0.375
330.000	0.447	0.367
331.000	0.419	0.369
332.000	0.402	0.372
333.000	0.375	0.368
334.000	0.375	0.364
335.000	0.350	0.367
336.000	0.330	0.365
337.000	0.319	0.367
338.000	0.314	0.372
339.000	0.303	0.375
340.000	0.312	0.375
341.000	0.343	0.402
342.000	0.330	0.385
343.000	0.345	0.385
344.000	0.381	0.442
345.000	0.387	0.392
346.000	0.412	0.393
347.000	0.428	0.402
348.000	0.466	0.415
349.000	0.495	0.414
350.000	0.534	0.430
351.000	0.575	0.428
352.000	0.609	0.441
353.000	0.677	0.492
354.000	0.706	0.476
355.000	0.766	0.478
356.000	0.803	0.488
357.000	0.863	0.508
358.000	0.935	0.521
359.000	0.980	0.536
360.000	1.096	0.568
361.000	1.142	0.589
362.000	1.217	0.607
363.000	1.292	0.643
364.000	1.381	0.657
365.000	1.500	0.694
366.000	1.594	0.728
367.000	1.689	0.753
368.000	1.820	0.780
369.000	1.919	0.820
370.000	2.048	0.849
371.000	2.167	0.893
372.000	2.297	0.929
373.000	2.420	0.971
374.000	2.516	0.994
375.000	2.603	1.024
376.000	2.646	1.037
377.000	2.686	1.052
378.000	2.696	1.073
379.000	2.670	1.054
380.000	2.642	1.024
381.000	2.581	0.998
382.000	2.498	0.968
383.000	2.394	0.939
