#Frequency	Mic 1	Mic 2
1153.000	0.750	0.049
1154.000	0.752	0.091
1155.000	0.743	0.047
1156.000	0.726	0.036
1157.000	0.732	0.036
1158.000	0.738	0.054
1159.000	0.730	0.040
1160.000	0.724	0.036
1161.000	0.737	0.042
1162.000	0.728	0.035
1163.000	0.715	0.044
1164.000	0.713	0.038
1165.000	0.713	0.032
1166.000	0.711	0.041
1167.000	0.706	0.036
1168.000	0.709	0.031
1169.000	0.715	0.036
1170.000	0.710	0.032
1171.000	0.706	0.035
1172.000	0.712	0.036
1173.000	0.703	0.036
1174.000	0.707	0.034
1175.000	0.697	0.040
1176.000	0.701	0.039
1177.000	0.692	0.036
1178.000	0.695	0.044
1179.000	0.696	0.043
1180.000	0.687	0.044
1181.000	0.687	0.046
1182.000	0.695	0.040
1183.000	0.677	0.042
1184.000	0.702	0.036
1185.000	0.683	0.040
1186.000	0.687	0.039
1187.000	0.693	0.044
1188.000	0.694	0.041
1189.000	0.678	0.044
1190.000	0.688	0.040
1191.000	0.672	0.041
1192.000	0.666	0.042
1193.000	0.698	0.047
1194.000	0.679	0.044
1195.000	0.680	0.045
1196.000	0.672	0.043
1197.000	0.658	0.048
1198.000	0.681	0.043
1199.000	0.670	0.043
1200.000	0.663	0.046
1201.000	0.661	0.043
1202.000	0.664	0.044
1203.000	0.666	0.051
1204.000	0.657	0.046
1205.000	0.655	0.049
1206.000	0.658	0.053
1207.000	0.659	0.048
1208.000	0.649	0.051
1209.000	0.644	0.052
1210.000	0.657	0.051
1211.000	0.651	0.061
1212.000	0.648	0.058
1213.000	0.644	0.055
1214.000	0.646	0.054
1215.000	0.643	0.057
1216.000	0.646	0.058
1217.000	0.638	0.063
1218.000	0.641	0.069
1219.000	0.633	0.064
1220.000	0.638	0.071
1221.000	0.632	0.069
1222.000	0.629	0.077
1223.000	0.626	0.073
1224.000	0.631	0.084
1225.000	0.619	0.086
1226.000	0.629	0.090
1227.000	0.622	0.091
1228.000	0.627	0.092
1229.000	0.620	0.096
1230.000	0.623	0.105
1231.000	0.615	0.101
1232.000	0.621	0.102
1233.000	0.616	0.107
1234.000	0.609	0.107
1235.000	0.613	0.110
1236.000	0.614	0.120
1237.000	0.607	0.116
1238.000	0.602	0.122
1239.000	0.603	0.130
1240.000	0.612	0.132
1241.000	0.599	0.131
1242.000	0.607	0.135
1243.000	0.596	0.128
1244.000	0.613	0.132
1245.000	0.600	0.131
1246.000	0.591	0.137
1247.000	0.596	0.141
1248.000	0.605	0.143
1249.000	0.595	0.153
1250.000	0.580	0.149
1251.000	0.587	0.147
1252.000	0.583	0.151
1253.000	0.588	0.162
1254.000	0.577	0.161
1255.000	0.577	0.161
1256.000	0.579	0.169
1257.000	0.582	0.170
1258.000	0.576	0.180
1259.000	0.566	0.179
1260.000	0.567	0.186
1261.000	0.571	0.186
1262.000	0.563	0.189
1263.000	0.566	0.201
1264.000	0.573	0.206
1265.000	0.552	0.207
1266.000	0.548	0.213
1267.000	0.566	0.220
1268.000	0.560	0.232
1269.000	0.551	0.238
1270.000	0.545	0.245
1271.000	0.546	0.251
1272.000	0.538	0.260
1273.000	0.541	0.271
1274.000	0.536	0.277
1275.000	0.541	0.291
1276.000	0.537	0.302
1277.000	0.544	0.317
1278.000	0.550	0.324
1279.000	0.549	0.337
1280.000	0.541	0.343
1281.000	0.537	0.359
1282.000	0.558	0.367
1283.000	0.540	0.378
1284.000	0.558	0.386
1285.000	0.552	0.395
1286.000	0.549	0.401
1287.000	0.564	0.415
1288.000	0.556	0.420
1289.000	0.565	0.424
1290.000	0.564	0.434
1291.000	0.535	0.435
1292.000	0.547	0.438
1293.000	0.561	0.439
1294.000	0.568	0.441
1295.000	0.563	0.442
1296.000	0.564	0.444
1297.000	0.564	0.438
1298.000	0.561	0.441
1299.000	0.569	0.435
1300.000	0.566	0.442
1301.000	0.554	0.438
1302.000	0.554	0.444
1303.000	0.562	0.435
1304.000	0.556	0.436
1305.000	0.550	0.434
1306.000	0.550	0.437
1307.000	0.543	0.439
1308.000	0.543	0.436
1309.000	0.554	0.446
1310.000	0.539	0.441
1311.000	0.536	0.443
1312.000	0.529	0.455
1313.000	0.529	0.457
1314.000	0.527	0.455
1315.000	0.532	0.468
1316.000	0.534	0.464
1317.000	0.524	0.475
1318.000	0.518	0.476
1319.000	0.513	0.485
1320.000	0.508	0.494
1321.000	0.512	0.501
1322.000	0.503	0.511
1323.000	0.521	0.524
1324.000	0.510	0.534
1325.000	0.506	0.546
1326.000	0.514	0.588
1327.000	0.545	0.596
1328.000	0.533	0.610
1329.000	0.517	0.618
1330.000	0.523	0.632
1331.000	0.517	0.614
1332.000	0.528	0.626
1333.000	0.520	0.640
1334.000	0.531	0.651
1335.000	0.536	0.659
1336.000	0.550	0.672
1337.000	0.560	0.722
1338.000	0.562	0.688
1339.000	0.561	0.689
1340.000	0.572	0.699
1341.000	0.575	0.689
1342.000	0.590	0.695
1343.000	0.589	0.682
1344.000	0.601	0.681
1345.000	0.603	0.677
1346.000	0.606	0.674
1347.000	0.613	0.669
1348.000	0.605	0.660
1349.000	0.611	0.649
1350.000	0.629	0.659
1351.000	0.607	0.657
1352.000	0.632	0.649
1353.000	0.627	0.644
1354.000	0.623	0.615
1355.000	0.614	0.598
1356.000	0.610	0.586
1357.000	0.603	0.580
1358.000	0.599	0.567
1359.000	0.596	0.566
1360.000	0.605	0.559
1361.000	0.592	0.551
1362.000	0.597	0.548
1363.000	0.591	0.543
1364.000	0.588	0.540
1365.000	0.577	0.538
1366.000	0.581	0.532
1367.000	0.571	0.532
1368.000	0.574	0.536
1369.000	0.573	0.530
1370.000	0.568	0.528
1371.000	0.564	0.525
1372.000	0.556	0.525
1373.000	0.559	0.528
1374.000	0.552	0.529
1375.000	0.546	0.529
1376.000	0.547	0.533
1377.000	0.545	0.535
1378.000	0.541	0.545
1379.000	0.534	0.547
1380.000	0.536	0.553
1381.000	0.538	0.560
1382.000	0.541	0.566
1383.000	0.530	0.571
1384.000	0.528	0.578
1385.000	0.525	0.585
1386.000	0.525	0.594
1387.000	0.522	0.603
1388.000	0.528	0.615
1389.000	0.513	0.623
1390.000	0.524	0.639
1391.000	0.535	0.642
1392.000	0.526	0.658
1393.000	0.525	0.667
1394.000	0.520	0.685
1395.000	0.523	0.689
1396.000	0.527	0.702
1397.000	0.544	0.717
1398.000	0.545	0.725
1399.000	0.546	0.733
1400.000	0.544	0.744
1401.000	0.557	0.750
1402.000	0.568	0.759
1403.000	0.567	0.759
1404.000	0.574	0.768
1405.000	0.575	0.768
1406.000	0.587	0.771
1407.000	0.601	0.772
1408.000	0.613	0.768
1409.000	0.607	0.766
1410.000	0.612	0.756
1411.000	0.619	0.749
1412.000	0.608	0.745
1413.000	0.619	0.739
1414.000	0.621	0.731
1415.000	0.625	0.717
1416.000	0.625	0.705
1417.000	0.633	0.700
1418.000	0.616	0.685
1419.000	0.626	0.677
1420.000	0.613	0.668
1421.000	0.624	0.654
1422.000	0.620	0.647
1423.000	0.615	0.639
1424.000	0.622	0.635
1425.000	0.616	0.624
1426.000	0.613	0.615
1427.000	0.596	0.609
1428.000	0.603	0.609
1429.000	0.601	0.599
1430.000	0.602	0.594
1431.000	0.586	0.586
1432.000	0.586	0.584
1433.000	0.587	0.578
1434.000	0.579	0.574
1435.000	0.569	0.573
1436.000	0.563	0.570
1437.000	0.575	0.573
1438.000	0.587	0.573
1439.000	0.569	0.568
1440.000	0.563	0.568
1441.000	0.561	0.568
1442.000	0.565	0.573
1443.000	0.562	0.577
1444.000	0.566	0.577
1445.000	0.548	0.578
1446.000	0.552	0.581
1447.000	0.540	0.586
1448.000	0.542	0.589
1449.000	0.549	0.598
1450.000	0.536	0.608
1451.000	0.538	0.613
1452.000	0.532	0.620
1453.000	0.519	0.628
1454.000	0.520	0.637
1455.000	0.526	0.648
1456.000	0.516	0.660
1457.000	0.524	0.670
1458.000	0.515	0.678
1459.000	0.512	0.707
1460.000	0.525	0.712
1461.000	0.534	0.735
1462.000	0.539	0.744
1463.000	0.529	0.754
1464.000	0.530	0.785
1465.000	0.517	0.776
1466.000	0.521	0.817
1467.000	0.542	0.807
1468.000	0.540	0.812
1469.000	0.539	0.837
1470.000	0.553	0.839
1471.000	0.566	0.885
1472.000	0.584	0.877
1473.000	0.577	0.896
1474.000	0.578	0.883
1475.000	0.591	0.881
1476.000	0.590	0.882
1477.000	0.601	0.887
1478.000	0.607	0.878
1479.000	0.620	0.872
1480.000	0.631	0.871
1481.000	0.626	0.854
1482.000	0.625	0.847
1483.000	0.635	0.832
1484.000	0.630	0.826
1485.000	0.650	0.814
1486.000	0.649	0.799
1487.000	0.648	0.788
1488.000	0.658	0.779
1489.000	0.646	0.762
1490.000	0.646	0.746
1491.000	0.650	0.737
1492.000	0.642	0.724
1493.000	0.642	0.745
1494.000	0.652	0.724
1495.000	0.643	0.694
1496.000	0.651	0.683
1497.000	0.650	0.687
1498.000	0.635	0.671
1499.000	0.625	0.650
1500.000	0.619	0.639
1501.000	0.613	0.631
1502.000	0.620	0.625
1503.000	0.615	0.626
1504.000	0.617	0.614
1505.000	0.625	0.616
1506.000	0.600	0.608
1507.000	0.611	0.601
1508.000	0.602	0.603
1509.000	0.603	0.595
1510.000	0.590	0.601
1511.000	0.584	0.598
1512.000	0.583	0.599
1513.000	0.593	0.596
1514.000	0.590	0.595
1515.000	0.583	0.597
1516.000	0.578	0.602
1517.000	0.571	0.601
1518.000	0.599	0.608
1519.000	0.563	0.611
1520.000	0.556	0.614
1521.000	0.564	0.616
1522.000	0.564	0.622
1523.000	0.554	0.632
1524.000	0.552	0.637
1525.000	0.549	0.646
1526.000	0.552	0.658
1527.000	0.540	0.659
1528.000	0.539	0.668
1529.000	0.538	0.680
1530.000	0.540	0.690
1531.000	0.537	0.706
1532.000	0.533	0.710
1533.000	0.541	0.724
1534.000	0.548	0.736
1535.000	0.543	0.742
1536.000	0.552	0.755
1537.000	0.546	0.766
1538.000	0.542	0.776
1539.000	0.555	0.783
1540.000	0.557	0.797
1541.000	0.564	0.806
1542.000	0.563	0.816
1543.000	0.579	0.827
1544.000	0.586	0.833
1545.000	0.591	0.836
1546.000	0.602	0.839
1547.000	0.598	0.846
1548.000	0.609	0.841
1549.000	0.624	0.839
1550.000	0.625	0.841
1551.000	0.628	0.831
1552.000	0.633	0.822
1553.000	0.633	0.813
1554.000	0.640	0.805
1555.000	0.651	0.798
1556.000	0.645	0.786
1557.000	0.649	0.785
1558.000	0.659	0.770
1559.000	0.669	0.762
1560.000	0.651	0.742
1561.000	0.648	0.730
1562.000	0.641	0.715
1563.000	0.654	0.709
1564.000	0.655	0.692
1565.000	0.635	0.680
1566.000	0.647	0.680
1567.000	0.635	0.668
1568.000	0.636	0.654
1569.000	0.632	0.640
1570.000	0.635	0.634
1571.000	0.627	0.626
1572.000	0.625	0.624
1573.000	0.618	0.614
1574.000	0.617	0.610
1575.000	0.633	0.613
1576.000	0.609	0.606
1577.000	0.614	0.598
1578.000	0.608	0.595
1579.000	0.606	0.592
1580.000	0.600	0.591
1581.000	0.599	0.588
1582.000	0.590	0.584
1583.000	0.597	0.590
1584.000	0.595	0.595
1585.000	0.583	0.589
1586.000	0.581	0.587
1587.000	0.582	0.593
1588.000	0.570	0.595
1589.000	0.593	0.596
1590.000	0.565	0.597
1591.000	0.567	0.602
1592.000	0.550	0.608
1593.000	0.559	0.614
1594.000	0.572	0.625
1595.000	0.547	0.628
1596.000	0.561	0.631
1597.000	0.554	0.637
1598.000	0.569	0.686
1599.000	0.569	0.681
1600.000	0.552	0.673
1601.000	0.566	0.686
1602.000	0.565	0.703
1603.000	0.562	0.715
1604.000	0.559	0.704
1605.000	0.554	0.721
1606.000	0.562	0.720
1607.000	0.576	0.737
1608.000	0.580	0.747
1609.000	0.586	0.749
1610.000	0.570	0.753
1611.000	0.580	0.767
1612.000	0.580	0.773
1613.000	0.582	0.780
1614.000	0.585	0.793
1615.000	0.609	0.795
1616.000	0.592	0.791
1617.000	0.611	0.793
1618.000	0.602	0.789
1619.000	0.607	0.785
1620.000	0.618	0.784
1621.000	0.623	0.778
1622.000	0.633	0.781
1623.000	0.633	0.778
1624.000	0.646	0.775
1625.000	0.631	0.749
1626.000	0.639	0.742
1627.000	0.650	0.737
1628.000	0.642	0.726
1629.000	0.632	0.708
1630.000	0.632	0.698
1631.000	0.640	0.688
1632.000	0.652	0.681
1633.000	0.629	0.673
1634.000	0.636	0.662
1635.000	0.643	0.654
1636.000	0.645	0.642
1637.000	0.641	0.638
1638.000	0.645	0.625
1639.000	0.631	0.618
1640.000	0.637	0.610
1641.000	0.626	0.606
1642.000	0.629	0.601
1643.000	0.632	0.593
1644.000	0.637	0.589
1645.000	0.614	0.582
1646.000	0.635	0.583
1647.000	0.616	0.578
1648.000	0.613	0.575
1649.000	0.624	0.572
1650.000	0.606	0.571
1651.000	0.620	0.570
1652.000	0.606	0.577
1653.000	0.612	0.574
1654.000	0.602	0.574
1655.000	0.608	0.571
1656.000	0.600	0.575
1657.000	0.601	0.576
1658.000	0.603	0.582
1659.000	0.605	0.584
1660.000	0.605	0.594
1661.000	0.590	0.584
1662.000	0.586	0.592
1663.000	0.602	0.597
1664.000	0.583	0.612
1665.000	0.583	0.613
1666.000	0.583	0.619
1667.000	0.586	0.633
1668.000	0.581	0.635
1669.000	0.580	0.643
1670.000	0.589	0.653
1671.000	0.592	0.667
1672.000	0.598	0.669
1673.000	0.590	0.683
1674.000	0.594	0.694
1675.000	0.591	0.703
1676.000	0.577	0.711
1677.000	0.592	0.721
1678.000	0.590	0.733
1679.000	0.592	0.739
1680.000	0.580	0.750
1681.000	0.601	0.756
1682.000	0.599	0.762
1683.000	0.610	0.771
1684.000	0.610	0.769
1685.000	0.612	0.768
1686.000	0.629	0.771
1687.000	0.624	0.766
1688.000	0.636	0.763
1689.000	0.643	0.751
1690.000	0.641	0.747
1691.000	0.650	0.740
1692.000	0.640	0.730
1693.000	0.665	0.723
1694.000	0.649	0.712
1695.000	0.655	0.697
1696.000	0.667	0.688
1697.000	0.668	0.678
1698.000	0.658	0.669
1699.000	0.655	0.658
1700.000	0.663	0.648
1701.000	0.650	0.638
1702.000	0.651	0.623
1703.000	0.660	0.615
1704.000	0.658	0.609
1705.000	0.650	0.599
1706.000	0.644	0.595
1707.000	0.641	0.582
1708.000	0.641	0.573
1709.000	0.648	0.565
1710.000	0.645	0.562
1711.000	0.639	0.555
1712.000	0.637	0.547
1713.000	0.641	0.548
1714.000	0.627	0.545
1715.000	0.643	0.545
1716.000	0.636	0.539
1717.000	0.627	0.541
1718.000	0.630	0.541
1719.000	0.636	0.536
1720.000	0.632	0.537
1721.000	0.622	0.535
1722.000	0.626	0.537
1723.000	0.614	0.537
1724.000	0.623	0.536
1725.000	0.626	0.538
1726.000	0.617	0.546
1727.000	0.609	0.545
1728.000	0.619	0.551
1729.000	0.612	0.555
1730.000	0.610	0.559
1731.000	0.613	0.568
1732.000	0.610	0.566
1733.000	0.612	0.579
1734.000	0.601	0.584
1735.000	0.603	0.582
1736.000	0.605	0.594
1737.000	0.612	0.596
1738.000	0.609	0.604
1739.000	0.606	0.601
1740.000	0.612	0.612
1741.000	0.619	0.619
1742.000	0.619	0.619
1743.000	0.624	0.620
1744.000	0.628	0.624
1745.000	0.639	0.631
1746.000	0.635	0.629
1747.000	0.626	0.628
1748.000	0.630	0.627
1749.000	0.633	0.622
1750.000	0.642	0.619
1751.000	0.645	0.616
1752.000	0.660	0.607
1753.000	0.643	0.605
1754.000	0.657	0.599
1755.000	0.651	0.590
1756.000	0.656	0.586
1757.000	0.660	0.578
1758.000	0.655	0.567
1759.000	0.656	0.560
1760.000	0.650	0.547
1761.000	0.655	0.544
1762.000	0.656	0.534
1763.000	0.668	0.526
1764.000	0.658	0.518
1765.000	0.666	0.512
1766.000	0.660	0.510
1767.000	0.652	0.501
1768.000	0.659	0.494
1769.000	0.660	0.487
1770.000	0.665	0.492
1771.000	0.675	0.493
1772.000	0.666	0.478
1773.000	0.664	0.488
1774.000	0.673	0.474
1775.000	0.682	0.476
1776.000	0.652	0.465
1777.000	0.655	0.461
1778.000	0.659	0.457
1779.000	0.647	0.455
1780.000	0.630	0.461
1781.000	0.651	0.459
1782.000	0.651	0.457
1783.000	0.641	0.459
1784.000	0.645	0.459
1785.000	0.638	0.460
1786.000	0.641	0.465
1787.000	0.643	0.465
1788.000	0.644	0.468
1789.000	0.638	0.473
1790.000	0.638	0.473
1791.000	0.639	0.479
1792.000	0.644	0.478
1793.000	0.653	0.479
1794.000	0.641	0.478
1795.000	0.639	0.482
1796.000	0.641	0.486
1797.000	0.643	0.487
1798.000	0.648	0.492
1799.000	0.650	0.486
1800.000	0.663	0.493
1801.000	0.653	0.487
1802.000	0.652	0.481
1803.000	0.655	0.477
1804.000	0.664	0.471
1805.000	0.654	0.471
1806.000	0.664	0.467
1807.000	0.660	0.457
1808.000	0.665	0.454
1809.000	0.669	0.447
1810.000	0.677	0.448
1811.000	0.665	0.434
1812.000	0.665	0.425
1813.000	0.665	0.422
1814.000	0.676	0.411
1815.000	0.666	0.407
1816.000	0.664	0.399
1817.000	0.663	0.393
1818.000	0.660	0.381
1819.000	0.665	0.383
1820.000	0.663	0.370
1821.000	0.653	0.366
1822.000	0.666	0.365
1823.000	0.678	0.361
1824.000	0.671	0.353
1825.000	0.674	0.356
1826.000	0.660	0.347
1827.000	0.666	0.342
1828.000	0.660	0.341
1829.000	0.667	0.337
1830.000	0.657	0.335
1831.000	0.672	0.334
1832.000	0.658	0.332
1833.000	0.666	0.329
1834.000	0.664	0.329
1835.000	0.664	0.324
1836.000	0.668	0.329
1837.000	0.662	0.335
1838.000	0.676	0.324
1839.000	0.668	0.321
1840.000	0.671	0.309
1841.000	0.667	0.302
1842.000	0.677	0.298
1843.000	0.666	0.294
1844.000	0.665	0.292
1845.000	0.670	0.289
1846.000	0.678	0.275
1847.000	0.680	0.272
1848.000	0.682	0.265
1849.000	0.677	0.256
1850.000	0.669	0.247
1851.000	0.685	0.261
1852.000	0.698	0.241
1853.000	0.683	0.229
1854.000	0.681	0.230
1855.000	0.688	0.211
1856.000	0.687	0.204
1857.000	0.677	0.197
1858.000	0.692	0.193
1859.000	0.683	0.184
1860.000	0.683	0.180
1861.000	0.687	0.174
1862.000	0.678	0.165
1863.000	0.676	0.162
1864.000	0.674	0.152
1865.000	0.685	0.148
1866.000	0.685	0.144
1867.000	0.684	0.138
1868.000	0.689	0.138
1869.000	0.691	0.128
1870.000	0.691	0.124
1871.000	0.688	0.120
1872.000	0.683	0.110
1873.000	0.689	0.104
1874.000	0.689	0.104
1875.000	0.689	0.099
1876.000	0.687	0.094
1877.000	0.683	0.088
1878.000	0.686	0.087
1879.000	0.674	0.079
1880.000	0.699	0.081
1881.000	0.684	0.071
1882.000	0.688	0.074
1883.000	0.684	0.064
1884.000	0.690	0.066
1885.000	0.688	0.058
1886.000	0.680	0.057
1887.000	0.683	0.053
1888.000	0.688	0.061
1889.000	0.689	0.047
1890.000	0.688	0.050
1891.000	0.688	0.047
1892.000	0.671	0.047
1893.000	0.681	0.049
1894.000	0.679	0.044
1895.000	0.682	0.041
1896.000	0.686	0.044
1897.000	0.684	0.041
1898.000	0.684	0.039
1899.000	0.687	0.038
1900.000	0.688	0.037
1901.000	0.683	0.043
1902.000	0.686	0.036
1903.000	0.689	0.035
1904.000	0.676	0.037
1905.000	0.689	0.035
1906.000	0.684	0.034
1907.000	0.689	0.035
1908.000	0.675	0.036
1909.000	0.682	0.035
1910.000	0.706	0.035
1911.000	0.684	0.036
1912.000	0.695	0.043
1913.000	0.682	0.036
1914.000	0.688	0.066
1915.000	0.677	0.042
1916.000	0.685	0.034
1917.000	0.683	0.033
1918.000	0.674	0.032
1919.000	0.678	0.034
1920.000	0.678	0.030
1921.000	0.682	0.032
1922.000	0.677	0.036
1923.000	0.684	0.035
1924.000	0.684	0.032
1925.000	0.671	0.034
1926.000	0.681	0.033
1927.000	0.685	0.032
1928.000	0.684	0.034
1929.000	0.678	0.034
1930.000	0.688	0.035
1931.000	0.681	0.032
1932.000	0.681	0.030
1933.000	0.679	0.032
1934.000	0.700	0.044
1935.000	0.688	0.035
1936.000	0.708	0.038
1937.000	0.709	0.047
1938.000	0.687	0.047
1939.000	0.680	0.040
1940.000	0.681	0.040
1941.000	0.678	0.037
1942.000	0.681	0.036
1943.000	0.678	0.035
1944.000	0.685	0.036
1945.000	0.680	0.034
1946.000	0.681	0.033
1947.000	0.685	0.034
1948.000	0.686	0.034
1949.000	0.680	0.032
1950.000	0.682	0.034
1951.000	0.686	0.033
1952.000	0.686	0.036
1953.000	0.674	0.033
1954.000	0.682	0.037
1955.000	0.683	0.039
1956.000	0.687	0.036
1957.000	0.686	0.035
1958.000	0.687	0.035
1959.000	0.685	0.036
1960.000	0.696	0.039
1961.000	0.688	0.036
1962.000	0.685	0.034
1963.000	0.686	0.039
1964.000	0.684	0.034
1965.000	0.686	0.035
1966.000	0.707	0.046
1967.000	0.690	0.045
1968.000	0.697	0.044
1969.000	0.745	0.045
1970.000	0.696	0.049
1971.000	0.683	0.034
1972.000	0.695	0.034
1973.000	0.702	0.037
1974.000	0.687	0.032
1975.000	0.687	0.036
1976.000	0.689	0.032
1977.000	0.687	0.032
1978.000	0.682	0.028
1979.000	0.680	0.028
1980.000	0.687	0.030
1981.000	0.685	0.031
1982.000	0.684	0.034
1983.000	0.682	0.032
1984.000	0.690	0.028
1985.000	0.685	0.032
1986.000	0.685	0.032
1987.000	0.688	0.029
1988.000	0.686	0.031
1989.000	0.685	0.031
1990.000	0.688	0.035
1991.000	0.693	0.038
1992.000	0.690	0.049
1993.000	0.688	0.036
1994.000	0.697	0.050
1995.000	0.693	0.037
1996.000	0.688	0.034
1997.000	0.691	0.030
1998.000	0.692	0.034
1999.000	0.688	0.032
2000.000	0.692	0.031
2001.000	0.674	0.034
2002.000	0.700	0.031
2003.000	0.697	0.043
2004.000	0.708	0.045
2005.000	0.712	0.045
2006.000	0.689	0.033
2007.000	0.691	0.032
2008.000	0.700	0.032
2009.000	0.687	0.039
2010.000	0.688	0.035
2011.000	0.694	0.031
2012.000	0.694	0.033
2013.000	0.688	0.029
2014.000	0.697	0.033
2015.000	0.692	0.032
2016.000	0.696	0.029
2017.000	0.696	0.035
2018.000	0.696	0.032
2019.000	0.700	0.034
2020.000	0.699	0.034
2021.000	0.710	0.032
2022.000	0.695	0.031
2023.000	0.701	0.034
2024.000	0.697	0.031
2025.000	0.700	0.034
2026.000	0.692	0.031
2027.000	0.702	0.034
2028.000	0.701	0.034
2029.000	0.690	0.032
2030.000	0.703	0.031
2031.000	0.694	0.032
2032.000	0.697	0.034
2033.000	0.702	0.031
2034.000	0.705	0.033
2035.000	0.707	0.031
2036.000	0.713	0.034
2037.000	0.707	0.034
2038.000	0.700	0.030
2039.000	0.678	0.031
2040.000	0.707	0.033
2041.000	0.707	0.037
2042.000	0.710	0.028
2043.000	0.701	0.032
2044.000	0.707	0.030
2045.000	0.701	0.032
2046.000	0.720	0.032
2047.000	0.698	0.030
2048.000	0.707	0.029
2049.000	0.707	0.033
2050.000	0.706	0.032
2051.000	0.697	0.028
2052.000	0.707	0.033
2053.000	0.707	0.034
2054.000	0.707	0.030
2055.000	0.710	0.036
2056.000	0.711	0.030
2057.000	0.717	0.034
2058.000	0.704	0.031
2059.000	0.702	0.032
2060.000	0.706	0.038
2061.000	0.705	0.046
2062.000	0.729	0.037
2063.000	0.725	0.031
2064.000	0.718	0.030
2065.000	0.717	0.033
2066.000	0.730	0.031
2067.000	0.714	0.032
2068.000	0.717	0.032
2069.000	0.713	0.035
2070.000	0.713	0.030
2071.000	0.720	0.035
2072.000	0.729	0.034
2073.000	0.715	0.036
2074.000	0.732	0.036
2075.000	0.721	0.032
2076.000	0.725	0.034
2077.000	0.704	0.033
2078.000	0.714	0.030
2079.000	0.707	0.031
2080.000	0.726	0.035
2081.000	0.726	0.030
2082.000	0.728	0.031
2083.000	0.723	0.030
2084.000	0.726	0.030
2085.000	0.721	0.029
2086.000	0.732	0.033
2087.000	0.720	0.029
2088.000	0.717	0.030
2089.000	0.738	0.052
2090.000	0.736	0.054
2091.000	0.728	0.039
2092.000	0.727	0.033
2093.000	0.726	0.036
2094.000	0.727	0.035
2095.000	0.727	0.032
2096.000	0.730	0.037
2097.000	0.734	0.027
2098.000	0.742	0.034
2099.000	0.729	0.034
2100.000	0.719	0.030
2101.000	0.733	0.033
2102.000	0.756	0.034
2103.000	0.755	0.031
2104.000	0.727	0.036
2105.000	0.750	0.033
2106.000	0.740	0.033
2107.000	0.733	0.030
2108.000	0.736	0.033
2109.000	0.744	0.030
2110.000	0.744	0.036
2111.000	0.742	0.028
2112.000	0.732	0.031
2113.000	0.732	0.029
2114.000	0.736	0.035
2115.000	0.734	0.032
2116.000	0.727	0.029
2117.000	0.736	0.035
2118.000	0.741	0.032
2119.000	0.747	0.027
2120.000	0.752	0.031
2121.000	0.747	0.034
2122.000	0.740	0.030
2123.000	0.743	0.030
2124.000	0.742	0.034
2125.000	0.750	0.036
2126.000	0.744	0.034
2127.000	0.740	0.032
2128.000	0.739	0.031
2129.000	0.745	0.034
2130.000	0.745	0.034
2131.000	0.743	0.028
2132.000	0.750	0.033
2133.000	0.747	0.033
2134.000	0.745	0.030
2135.000	0.756	0.031
2136.000	0.746	0.030
2137.000	0.749	0.032
2138.000	0.752	0.034
2139.000	0.759	0.034
2140.000	0.744	0.035
2141.000	0.753	0.029
2142.000	0.757	0.032
2143.000	0.754	0.034
2144.000	0.757	0.031
2145.000	0.760	0.032
2146.000	0.768	0.033
2147.000	0.768	0.038
2148.000	0.752	0.030
2149.000	0.759	0.037
2150.000	0.752	0.034
2151.000	0.770	0.033
2152.000	0.746	0.039
2153.000	0.742	0.032
2154.000	0.772	0.032
2155.000	0.749	0.032
2156.000	0.771	0.034
2157.000	0.767	0.034
2158.000	0.766	0.029
2159.000	0.769	0.032
2160.000	0.768	0.030
2161.000	0.766	0.030
2162.000	0.772	0.033
2163.000	0.766	0.033
2164.000	0.773	0.034
2165.000	0.768	0.033
2166.000	0.775	0.027
2167.000	0.778	0.030
2168.000	0.785	0.030
2169.000	0.774	0.035
2170.000	0.770	0.031
2171.000	0.779	0.032
2172.000	0.776	0.036
2173.000	0.782	0.031
2174.000	0.778	0.031
2175.000	0.772	0.033
2176.000	0.776	0.029
2177.000	0.781	0.029
2178.000	0.781	0.034
2179.000	0.792	0.031
2180.000	0.785	0.027
2181.000	0.781	0.032
2182.000	0.789	0.032
2183.000	0.793	0.029
2184.000	0.796	0.029
2185.000	0.786	0.035
2186.000	0.787	0.033
2187.000	0.797	0.033
2188.000	0.783	0.030
2189.000	0.794	0.030
2190.000	0.795	0.029
2191.000	0.792	0.031
2192.000	0.798	0.032
2193.000	0.795	0.029
2194.000	0.804	0.057
2195.000	0.812	0.061
2196.000	0.821	0.045
2197.000	0.804	0.046
2198.000	0.805	0.062
2199.000	0.801	0.036
2200.000	0.797	0.041
2201.000	0.801	0.030
2202.000	0.797	0.033
2203.000	0.805	0.029
2204.000	0.801	0.031
2205.000	0.798	0.031
2206.000	0.812	0.030
2207.000	0.806	0.029
2208.000	0.810	0.029
2209.000	0.816	0.028
2210.000	0.807	0.031
2211.000	0.809	0.031
2212.000	0.819	0.030
2213.000	0.812	0.031
2214.000	0.816	0.031
2215.000	0.820	0.030
2216.000	0.806	0.033
2217.000	0.825	0.031
2218.000	0.819	0.031
2219.000	0.821	0.030
2220.000	0.812	0.030
2221.000	0.816	0.030
2222.000	0.829	0.031
2223.000	0.824	0.027
2224.000	0.830	0.031
2225.000	0.821	0.027
2226.000	0.828	0.030
2227.000	0.821	0.031
